DateTime;Sensor 1 - NO₂ (ppm);DateTime;Sensor 2 - NO₂ (ppm);DateTime;Sensor 3 - NO₂ (ppm);DateTime;Sensor 1 - CO (ppm);DateTime;Sensor 2 - CO (ppm);DateTime;Sensor 3 - CO (ppm);DateTime;Sensor 1 - Temperature (°C);DateTime;Sensor 2 - Temperature (°C);DateTime;Sensor 3 - Temperature (°C);DateTime;Sensor 1 - Humidity (%);DateTime;Sensor 2 - Humidity (%);DateTime;Sensor 3 - Humidity (%);DateTime;Sensor 1 - Battery (%);DateTime;Sensor 2 - Battery (%);DateTime;Sensor 3 - Battery (%)
2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;;2015-04-01 02:00:00;
2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 17:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;;2015-04-01 03:00:00;
2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-02 01:00:00;;2015-04-02 01:00:00;;2015-04-02 01:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;;2015-04-01 04:00:00;
2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-02 09:00:00;;2015-04-02 09:00:00;;2015-04-02 09:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;;2015-04-01 05:00:00;
2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-02 17:00:00;;2015-04-02 17:00:00;;2015-04-02 17:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;;2015-04-01 06:00:00;
2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-03 01:00:00;;2015-04-03 01:00:00;;2015-04-03 01:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;;2015-04-01 07:00:00;
2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-03 09:00:00;;2015-04-03 09:00:00;;2015-04-03 09:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;;2015-04-01 08:00:00;
2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-03 17:00:00;;2015-04-03 17:00:00;;2015-04-03 17:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;;2015-04-01 09:00:00;
2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-04 01:00:00;;2015-04-04 01:00:00;;2015-04-04 01:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;;2015-04-01 10:00:00;
2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-04 09:00:00;;2015-04-04 09:00:00;;2015-04-04 09:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;;2015-04-01 11:00:00;
2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-04 17:00:00;;2015-04-04 17:00:00;;2015-04-04 17:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;;2015-04-01 12:00:00;
