DateTime;Sensor 1 - NO₂ (ppm);DateTime;Sensor 2 - NO₂ (ppm);DateTime;Sensor 1 - CO (ppm);DateTime;Sensor 2 - CO (ppm);DateTime;Sensor 1 - Temperature (°C);DateTime;Sensor 2 - Temperature (°C);DateTime;Sensor 1 - Humidity (%);DateTime;Sensor 2 - Humidity (%);DateTime;Sensor 1 - Battery (%);DateTime;Sensor 2 - Battery (%)
2015-11-01 02:00:00;;2015-11-01 02:00:00;0.009999999999999998;2015-11-01 09:00:00;;2015-11-01 09:00:00;1.16;2015-11-01 02:00:00;;2015-11-01 02:00:00;9.762857142857143;2015-11-01 02:00:00;;2015-11-01 02:00:00;91.32785714285716;2015-11-01 02:00:00;;2015-11-01 02:00:00;92.28571428571429
2015-11-01 03:00:00;;2015-11-01 03:00:00;0.01642857142857143;2015-11-01 17:00:00;;2015-11-01 17:00:00;1.1;2015-11-01 03:00:00;;2015-11-01 03:00:00;7.692142857142857;2015-11-01 03:00:00;;2015-11-01 03:00:00;91.11571428571428;2015-11-01 03:00:00;;2015-11-01 03:00:00;92.5
2015-11-01 04:00:00;;2015-11-01 04:00:00;0.022307692307692306;2015-11-02 01:00:00;;2015-11-02 01:00:00;1.02;2015-11-01 04:00:00;;2015-11-01 04:00:00;8.605384615384615;2015-11-01 04:00:00;;2015-11-01 04:00:00;91.24000000000001;2015-11-01 04:00:00;;2015-11-01 04:00:00;92.23076923076923
2015-11-01 05:00:00;;2015-11-01 05:00:00;0.024999999999999998;2015-11-02 09:00:00;;2015-11-02 09:00:00;1.04;2015-11-01 05:00:00;;2015-11-01 05:00:00;10.017857142857142;2015-11-01 05:00:00;;2015-11-01 05:00:00;91.37714285714287;2015-11-01 05:00:00;;2015-11-01 05:00:00;92.28571428571429
2015-11-01 06:00:00;;2015-11-01 06:00:00;0.03642857142857143;2015-11-02 17:00:00;;2015-11-02 17:00:00;1.05;2015-11-01 06:00:00;;2015-11-01 06:00:00;7.64357142857143;2015-11-01 06:00:00;;2015-11-01 06:00:00;91.58714285714284;2015-11-01 06:00:00;;2015-11-01 06:00:00;91.64285714285714
2015-11-01 07:00:00;;2015-11-01 07:00:00;0.027142857142857142;2015-11-03 01:00:00;;2015-11-03 01:00:00;0.98;2015-11-01 07:00:00;;2015-11-01 07:00:00;7.967857142857143;2015-11-01 07:00:00;;2015-11-01 07:00:00;91.31642857142857;2015-11-01 07:00:00;;2015-11-01 07:00:00;91.64285714285714
2015-11-01 08:00:00;;2015-11-01 08:00:00;0.032857142857142856;2015-11-03 09:00:00;;2015-11-03 09:00:00;1.07;2015-11-01 08:00:00;;2015-11-01 08:00:00;7.090714285714286;2015-11-01 08:00:00;;2015-11-01 08:00:00;91.0792857142857;2015-11-01 08:00:00;;2015-11-01 08:00:00;89.85714285714286
2015-11-01 09:00:00;;2015-11-01 09:00:00;0.04076923076923077;2015-11-03 17:00:00;;2015-11-03 17:00:00;1.01;2015-11-01 09:00:00;;2015-11-01 09:00:00;8.15923076923077;2015-11-01 09:00:00;;2015-11-01 09:00:00;90.17384615384616;2015-11-01 09:00:00;;2015-11-01 09:00:00;89.46153846153847
2015-11-01 10:00:00;;2015-11-01 10:00:00;0.029285714285714283;2015-11-04 01:00:00;;2015-11-04 01:00:00;0.9;2015-11-01 10:00:00;;2015-11-01 10:00:00;9.37142857142857;2015-11-01 10:00:00;;2015-11-01 10:00:00;85.035;2015-11-01 10:00:00;;2015-11-01 10:00:00;88.28571428571429
2015-11-01 11:00:00;;2015-11-01 11:00:00;0.024285714285714282;2015-11-04 09:00:00;;2015-11-04 09:00:00;1.14;2015-11-01 11:00:00;;2015-11-01 11:00:00;8.820000000000002;2015-11-01 11:00:00;;2015-11-01 11:00:00;86.39714285714285;2015-11-01 11:00:00;;2015-11-01 11:00:00;87.28571428571429
2015-11-01 12:00:00;;2015-11-01 12:00:00;0.012857142857142859;2015-11-04 17:00:00;;2015-11-04 17:00:00;1.06;2015-11-01 12:00:00;;2015-11-01 12:00:00;9.834285714285713;2015-11-01 12:00:00;;2015-11-01 12:00:00;86.73214285714286;2015-11-01 12:00:00;;2015-11-01 12:00:00;87.28571428571429
2015-11-01 13:00:00;;2015-11-01 13:00:00;0.025714285714285714;2015-11-05 01:00:00;;2015-11-05 01:00:00;1.1;2015-11-01 13:00:00;;2015-11-01 13:00:00;9.879285714285714;2015-11-01 13:00:00;;2015-11-01 13:00:00;86.84357142857142;2015-11-01 13:00:00;;2015-11-01 13:00:00;87.28571428571429
2015-11-01 14:00:00;;2015-11-01 14:00:00;0.02;2015-11-05 09:00:00;;2015-11-05 09:00:00;1.38;2015-11-01 14:00:00;;2015-11-01 14:00:00;10.265384615384615;2015-11-01 14:00:00;;2015-11-01 14:00:00;87.33461538461538;2015-11-01 14:00:00;;2015-11-01 14:00:00;87.23076923076923
2015-11-01 15:00:00;;2015-11-01 15:00:00;0.0071428571428571435;2015-11-05 17:00:00;;2015-11-05 17:00:00;1.41;2015-11-01 15:00:00;;2015-11-01 15:00:00;11.559999999999999;2015-11-01 15:00:00;;2015-11-01 15:00:00;86.83142857142856;2015-11-01 15:00:00;;2015-11-01 15:00:00;86
2015-11-01 16:00:00;;2015-11-01 16:00:00;0.008571428571428572;2015-11-06 01:00:00;;2015-11-06 01:00:00;1.49;2015-11-01 16:00:00;;2015-11-01 16:00:00;10.270714285714286;2015-11-01 16:00:00;;2015-11-01 16:00:00;87.06642857142857;2015-11-01 16:00:00;;2015-11-01 16:00:00;85.5
2015-11-01 17:00:00;;2015-11-01 17:00:00;0.0014285714285714286;2015-11-06 09:00:00;;2015-11-06 09:00:00;1.68;2015-11-01 17:00:00;;2015-11-01 17:00:00;11.723571428571429;2015-11-01 17:00:00;;2015-11-01 17:00:00;87.71285714285715;2015-11-01 17:00:00;;2015-11-01 17:00:00;86.21428571428571
2015-11-01 18:00:00;;2015-11-01 18:00:00;0.002857142857142857;2015-11-06 17:00:00;;2015-11-06 17:00:00;1.7;2015-11-01 18:00:00;;2015-11-01 18:00:00;9.256428571428572;2015-11-01 18:00:00;;2015-11-01 18:00:00;87.86142857142859;2015-11-01 18:00:00;;2015-11-01 18:00:00;87.5
2015-11-01 19:00:00;;2015-11-01 19:00:00;0.005714285714285714;2015-11-07 01:00:00;;2015-11-07 01:00:00;1.72;2015-11-01 19:00:00;;2015-11-01 19:00:00;9.394285714285713;2015-11-01 19:00:00;;2015-11-01 19:00:00;87.77428571428571;2015-11-01 19:00:00;;2015-11-01 19:00:00;88
2015-11-01 20:00:00;;2015-11-01 20:00:00;0.015384615384615384;2015-11-07 09:00:00;;2015-11-07 09:00:00;1.88;2015-11-01 20:00:00;;2015-11-01 20:00:00;10.143076923076922;2015-11-01 20:00:00;;2015-11-01 20:00:00;88.0653846153846;2015-11-01 20:00:00;;2015-11-01 20:00:00;89.6923076923077
2015-11-01 21:00:00;;2015-11-01 21:00:00;0.0035714285714285718;2015-11-07 17:00:00;;2015-11-07 17:00:00;1.86;2015-11-01 21:00:00;;2015-11-01 21:00:00;9.417857142857143;2015-11-01 21:00:00;;2015-11-01 21:00:00;88.81357142857144;2015-11-01 21:00:00;;2015-11-01 21:00:00;89
